Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges,Shoots,Height,Weight,Origin,Debut,Position
Bill Martin,/players/m/martibi01.html,1986,1988,F,6-7,205,"August 16, 1962",Georgetown,Right,6-7,205lb,Wash,"October 26, 1985",Small Forward
Bob Martin,/players/m/martibo01.html,1994,1995,C,7-0,250,"October 7, 1969",Minnesota,Right,7-0,250lb,M,"November 7, 1993",Center
Brian Martin,/players/m/martibr01.html,1986,1986,F,6-9,212,"August 18, 1962",Kansas,Right,6-9,212lb,"Fort Smith, Arkansas","October 29, 1985",Power Forward and Small Forward
Caleb Martin,/players/m/martica02.html,2020,2022,F,6-5,205,"September 28, 1995","NC State, Nevada",Right,6-5,205lb,W,"October 25, 2019",Small Forward
Cartier Martin,/players/m/martica01.html,2009,2015,F,6-7,220,"November 20, 1984",Kansas State,Right,6-7,220lb,"Crockett, Texas","January 30, 2009",Small Forward
Cody Martin,/players/m/martico01.html,2020,2022,G-F,6-5,205,"September 28, 1995","NC State, Nevada",Right,6-5,205lb,W,"October 25, 2019",Small Forward
Cuonzo Martin,/players/m/marticu01.html,1996,1997,G-F,6-5,213,"September 23, 1971",Purdue,Right,6-5,213lb,"St. Louis, Missouri","April 5, 1996",Shooting Guard
Darrick Martin,/players/m/martida01.html,1995,2008,G,5-11,170,"March 6, 1971",UCLA,Left,5-11,170lb,"Denver, Colorado","February 14, 1995",Point Guard
Dino Martin,/players/m/martidi01.html,1947,1948,G,5-8,160,"May 25, 1920",Georgetown,Right,5-8,160lb,"Newport, Rhode Island","November 2, 1946",Guard
Don Martin,/players/m/martido01.html,1947,1949,C-F,6-7,210,"February 7, 1920",Central Missouri State University,Right,6-7,210lb,"Poplar Bluff, Missouri","November 2, 1946",Center Forward
Fernando Martín,/players/m/martife01.html,1987,1987,C,6-9,220,"March 25, 1962",,Right,6-9,220lb,"Madrid, Spa","October 31, 1986",Center
Jarell Martin,/players/m/martija01.html,2016,2019,F,6-10,239,"May 24, 1994",LSU,Right,6-10,239lb,"Baton Rouge, Louisiana","December 18, 2015",Power Forward
Jeff Martin,/players/m/martije01.html,1990,1991,G,6-5,195,"January 14, 1967",Murray State,Right,6-5,195lb,"Cherry Valley, Arkansas","November 7, 1989",Point Guard and Shooting Guard
Jeremiah Martin,/players/m/martije02.html,2020,2021,G,6-3,185,"June 19, 1996",Memphis,Left,6-3,185lb,"Memphis, Tennessee","January 31, 2020",Point Guard
Kelan Martin,/players/m/martike03.html,2020,2022,F,6-5,230,"August 3, 1995",Butler,Right,6-5,230lb,"Louisville, Kentucky","October 25, 2019",Small Forward
Kenyon Martin,/players/m/martike01.html,2001,2015,F,6-9,234,"December 30, 1977",Cincinnati,Right,6-9,234lb,Sag,"October 31, 2000",Power Forward and Center
Kenyon Martin Jr.,/players/m/martike04.html,2021,2022,F,6-6,215,"January 6, 2001",,Right,6-6,215lb,"Gardena, California","January 8, 2021",Small Forward
Kevin Martin,/players/m/martike02.html,2005,2016,G,6-7,199,"February 1, 1983",Western Carolina University,Right,6-7,199lb,"Zanesville, Ohio","November 2, 2004",Shooting Guard and Point Guard
LaRue Martin,/players/m/martila01.html,1973,1976,C,6-11,208,"March 30, 1950",Loyola Chicago,Right,6-11,208lb,"Chicago, Ill","October 13, 1972",Center
Maurice Martin,/players/m/martima01.html,1987,1988,F-G,6-6,200,"July 2, 1964",Saint Joseph's,Right,6-6,200lb,"Liberty, New York","October 31, 1986",Small Forward
Phil Martin,/players/m/martiph01.html,1955,1955,G,6-3,190,"April 2, 1928",Toledo,Right,6-3,190lb,"Jackson, Michigan","October 30, 1954",Small Forward
Slater Martin,/players/m/martisl01.html,1950,1960,G,5-10,170,"October 22, 1925",Texas,Right,5-10,170lb,El M,"November 2, 1949",Point Guard
Whitey Martin,/players/m/martiwh01.html,1962,1962,G,6-2,185,"April 11, 1939",St. Bonaventure,Right,6-2,185lb,NA,"October 19, 1961",Shooting Guard
Jamal Mashburn,/players/m/mashbja01.html,1994,2004,F,6-8,240,"November 29, 1972",Kentucky,Right,6-8,240lb,"New York, New York","November 5, 1993",Small Forward
Al Masino,/players/m/masinal01.html,1953,1954,G,5-10,174,"February 5, 1928",Canisius,Right,5-10,174lb,"Richmond, New York","November 1, 1952",Point Guard
Anthony Mason,/players/m/masonan01.html,1990,2003,F,6-7,250,"December 14, 1966",Tennessee State,Left,6-7,250lb,"Miami, Florida","January 29, 1990",Power Forward  Small Forward  and Center
Desmond Mason,/players/m/masonde01.html,2001,2010,F,6-7,224,"October 11, 1977",Oklahoma State,Right,6-7,224lb,"Waxahachie, Texas","October 31, 2000",Small Forward and Shooting Guard
Frank Mason III,/players/m/masonfr01.html,2018,2021,G,5-11,190,"April 3, 1994",Kansas,Right,5-11,190lb,"Petersburg, Virg","October 21, 2017",Point Guard
Roger Mason,/players/m/masonro01.html,2003,2014,G,6-5,200,"September 10, 1980",Virginia,Right,6-5,200lb,Wash,"February 21, 2003",Shooting Guard  Point Guard  and Small Forward
Tony Massenburg,/players/m/masseto01.html,1991,2005,F,6-9,220,"July 31, 1967",Maryland,Right,6-9,220lb,"Sussex, Virg","November 3, 1990",Power Forward and Center
Eddie Mast,/players/m/masted01.html,1971,1973,F-C,6-9,220,"October 3, 1948",Temple,Right,6-9,220lb,"Philadelphia, Pennsylvania","October 14, 1970",Power Forward
Yante Maten,/players/m/matenya01.html,2019,2019,F,6-8,240,"August 14, 1996",Georgia,Right,6-8,240lb,"Pontiac, Michigan","April 9, 2019",Power Forward
Garrison Mathews,/players/m/mathega01.html,2020,2022,G,6-5,215,"October 24, 1996",Lipscomb,Right,6-5,215lb,Frankl,"October 23, 2019",Shooting Guard
Mangok Mathiang,/players/m/mathima01.html,2018,2018,C-F,6-10,230,"October 8, 1992",Louisville,Right,6-10,230lb,"Melbourne, Australia","October 25, 2017",Center
Dakota Mathias,/players/m/mathida01.html,2021,2022,G,6-4,200,"July 11, 1995",Purdue,Right,6-4,200lb,"Lima, Ohio","December 27, 2020",Shooting Guard
Johnny Mathis,/players/m/mathijo01.html,1968,1968,F,6-6,220,"July 14, 1943",Savannah State University,Right,6-6,220lb,"Eastman, Georgia",NA,Power Forward
Wes Matthews,/players/m/matthwe01.html,1981,1990,G,6-1,170,"August 24, 1959",Wisconsin,Right,6-1,170lb,"Sarasota, Florida","October 10, 1980",Point Guard
Wesley Matthews,/players/m/matthwe02.html,2010,2022,G,6-4,220,"October 14, 1986",Marquette,Right,6-4,220lb,"San Antonio, Texas","October 28, 2009",Shooting Guard and Small Forward
Ariel Maughan,/players/m/maughar01.html,1947,1951,F,6-4,190,"February 23, 1923",Utah State University,Right,6-4,190lb,"Salt Lake City, Utah",NA,Forward
Marlon Maxey,/players/m/maxeyma01.html,1993,1994,F,6-8,250,"February 19, 1969","Minnesota, Texas-El Paso",Right,6-8,250lb,"Chicago, Ill","December 3, 1992",Power Forward
Tyrese Maxey,/players/m/maxeyty01.html,2021,2022,G,6-2,200,"November 4, 2000",Kentucky,Right,6-2,200lb,"Dallas, Texas","December 23, 2020",Point Guard and Shooting Guard
Jason Maxiell,/players/m/maxieja01.html,2006,2015,F,6-7,260,"February 18, 1983",Cincinnati,Right,6-7,260lb,"Chicago, Ill","November 2, 2005",Power Forward and Center
Cedric Maxwell,/players/m/maxwece01.html,1978,1988,F,6-8,205,"November 21, 1955",UNC Charlotte,Right,6-8,205lb,K,"October 19, 1977",Small Forward
Vernon Maxwell,/players/m/maxweve01.html,1989,2001,G,6-4,180,"September 12, 1965",Florida,Right,6-4,180lb,Ga,"November 5, 1988",Shooting Guard and Point Guard
Don May,/players/m/maydo01.html,1969,1975,F,6-4,200,"January 3, 1946",Dayton,Left,6-4,200lb,"Dayton, Ohio","October 15, 1968",Small Forward
Scott May,/players/m/maysc01.html,1977,1983,F,6-7,215,"March 19, 1954",Indiana,Right,6-7,215lb,"Sandusky, Ohio","November 21, 1976",Small Forward
Sean May,/players/m/mayse01.html,2006,2010,F,6-9,266,"April 4, 1984",UNC,Right,6-9,266lb,"Chicago, Ill","November 2, 2005",Power Forward and Center
Lee Mayberry,/players/m/maybele01.html,1993,1999,G,6-1,172,"June 12, 1970",Arkansas,Right,6-1,172lb,"Tulsa, Oklahoma","November 6, 1992",Point Guard
Clyde Mayes,/players/m/mayescl01.html,1976,1977,F,6-8,225,"March 17, 1953",Furman University,Right,6-8,225lb,"Greenville, South Carol","October 28, 1975",Power Forward
Tharon Mayes,/players/m/mayesth01.html,1992,1992,G,6-3,175,"September 9, 1968",Florida State,Right,6-3,175lb,"New Haven, Connecticut","November 1, 1991",Shooting Guard
Bill Mayfield,/players/m/mayfibi01.html,1981,1981,F,6-7,205,"October 17, 1957",Iowa,Right,6-7,205lb,"Detroit, Michigan","February 27, 1981",Small Forward
Ken Mayfield,/players/m/mayfike01.html,1976,1976,G,6-2,185,"May 11, 1948",Tuskegee University,Right,6-2,185lb,"Chicago, Ill","October 25, 1975",Shooting Guard
Eric Maynor,/players/m/maynoer01.html,2010,2014,G,6-3,175,"June 11, 1987",VCU,Right,6-3,175lb,"Raeford, North Carol","October 28, 2009",Point Guard and Shooting Guard
O.J. Mayo,/players/m/mayooj01.html,2009,2016,G,6-5,210,"November 5, 1987",USC,Right,6-5,210lb,Hunt,"October 29, 2008",Shooting Guard
Skylar Mays,/players/m/mayssk01.html,2021,2022,G,6-4,205,"September 5, 1997",LSU,Right,6-4,205lb,"Baton Rouge, Louisiana","December 23, 2020",Shooting Guard
Travis Mays,/players/m/maystr01.html,1991,1993,G,6-2,190,"June 19, 1968",Texas,Right,6-2,190lb,"Ocala, Florida","November 6, 1990",Point Guard
Matt Mazza,/players/m/mazzama01.html,1950,1950,F,6-3,210,"September 23, 1923",Michigan State,Right,6-3,210lb,"Niagara Falls, New York","November 20, 1949",Forward
Luc Mbah a Moute,/players/m/mbahalu01.html,2009,2020,F,6-8,230,"September 9, 1986",UCLA,Right,6-8,230lb,"Yaounde, Cameroon","October 28, 2008",Power Forward and Small Forward
Bob McAdoo,/players/m/mcadobo01.html,1973,1986,C-F,6-9,210,"September 25, 1951","Vincennes University, UNC",Right,6-9,210lb,"Greensboro, North Carol","October 10, 1972",Center and Power Forward
James Michael McAdoo,/players/m/mcadoja01.html,2015,2018,F,6-9,230,"January 4, 1993",UNC,Right,6-9,230lb,"Norfolk, Virg","January 19, 2015",Power Forward
Ken McBride,/players/m/mcbrike01.html,1955,1955,G-F,6-3,190,"May 23, 1929",University of Maryland Eastern Shore,Right,6-3,190lb,"Centralia, Ill","October 30, 1954",Shooting Guard
Miles McBride,/players/m/mcbrimi01.html,2022,2022,G,6-2,200,"September 8, 2000",West Virginia,Right,6-2,200lb,C,"October 22, 2021",Point Guard
Tahjere McCall,/players/m/mccalta01.html,2019,2019,G,6-5,195,"August 17, 1994",Tennessee State,Right,6-5,195lb,"Philadelphia, Pennsylvania","February 27, 2019",Shooting Guard
Ray McCallum,/players/m/mccalra01.html,2014,2016,G,6-3,190,"June 12, 1991",Detroit Mercy,Right,6-3,190lb,"Madison, Wiscons","December 6, 2013",Point Guard
Bob McCann,/players/m/mccanbo01.html,1990,1998,F,6-6,244,"April 22, 1964","Upsala College, Morehead State University",Left,6-6,244lb,"Morristown, New Jersey","February 17, 1990",Small Forward and Power Forward
Brendan McCann,/players/m/mccanbr01.html,1958,1960,G,6-2,178,"July 5, 1935",St. Bonaventure,Right,6-2,178lb,"Brooklyn, New York","October 23, 1957",Point Guard
Mel McCants,/players/m/mccanme01.html,1990,1990,F,6-8,240,"August 19, 1967",Purdue,Right,6-8,240lb,"Chicago, Ill","November 9, 1989",Small Forward
Rashad McCants,/players/m/mccanra01.html,2006,2009,G,6-4,207,"September 25, 1984",UNC,Right,6-4,207lb,"Asheville, North Carol","November 2, 2005",Shooting Guard
Mike McCarron,/players/m/mccarmi01.html,1947,1950,G,5-11,180,"March 2, 1922",Seton Hall,Right,5-11,180lb,"New York, New York","November 1, 1946",Guard
Andre McCarter,/players/m/mccaran01.html,1977,1981,G,6-3,190,"August 25, 1953",UCLA,Right,6-3,190lb,"Philadelphia, Pennsylvania","October 23, 1976",Point Guard
Willie McCarter,/players/m/mccarwi01.html,1970,1972,G,6-3,175,"July 26, 1946",Drake University,Right,6-3,175lb,"Gary, Indiana","October 17, 1969",Shooting Guard
Johnny McCarthy,/players/m/mccarjo01.html,1957,1964,G,6-1,185,"April 25, 1934",Canisius,Right,6-1,185lb,"Buffalo, New York","October 27, 1956",Point Guard and Shooting Guard
Howie McCarty,/players/m/mccarho01.html,1947,1947,F-G,6-2,190,,Wayne State University,Right,6-2,190lb,NA,NA,Forward Guard
Kelly McCarty,/players/m/mccarke01.html,1999,1999,G-F,6-7,200,"August 24, 1975",Southern Miss,Right,6-7,200lb,"Chicago, Ill","April 14, 1999",Shooting Guard
Walter McCarty,/players/m/mccarwa01.html,1997,2006,F,6-10,230,"February 1, 1974",Kentucky,Right,6-10,230lb,"Evansville, Indiana","November 3, 1996",Power Forward and Small Forward
Amal McCaskill,/players/m/mccasam01.html,1997,2004,F-C,6-11,235,"October 28, 1973",Marquette,Right,6-11,235lb,"Maywood, Ill","November 27, 1996",Center
Patrick McCaw,/players/m/mccawpa01.html,2017,2021,G,6-7,181,"October 25, 1995",UNLV,Right,6-7,181lb,"St. Louis, Missouri","October 25, 2016",Shooting Guard and Small Forward
Dwayne McClain,/players/m/mccladw01.html,1986,1986,G,6-6,185,"February 7, 1963",Villanova,Right,6-6,185lb,"Worcester, Massachusetts","October 26, 1985",Small Forward
Ted McClain,/players/m/mcclate01.html,1972,1979,G,6-1,180,"August 30, 1946",Tennessee State,Right,6-1,180lb,"Nashville, Tennessee","October 22, 1976",Shooting Guard and Point Guard
Dan McClintock,/players/m/mcclida01.html,2001,2001,C,7-0,270,"April 19, 1977",Northern Arizona University,Right,7-0,270lb,Founta,"April 5, 2001",Center
Jack McCloskey,/players/m/mccloja01.html,1953,1953,G,6-2,190,"September 19, 1925",Penn,Right,6-2,190lb,"Mahanoy City, Pennsylvania","January 29, 1953",Shooting Guard
George McCloud,/players/m/mccloge01.html,1990,2002,G-F,6-6,205,"May 27, 1967",Florida State,Right,6-6,205lb,"Daytona Beach, Florida","November 3, 1989",Small Forward
Mac McClung,/players/m/mccluma01.html,2022,2022,G,6-2,185,"January 6, 1999","Georgetown, Texas Tech",Right,6-2,185lb,"Gate City, Virg","December 29, 2021",Point Guard
CJ McCollum,/players/m/mccolcj01.html,2014,2022,G,6-3,190,"September 19, 1991",Lehigh,Right,6-3,190lb,"Canton, Ohio","January 8, 2014",Shooting Guard
John McConathy,/players/m/mcconjo01.html,1952,1952,F,6-5,195,"April 9, 1930",Northwestern State University,Right,6-5,195lb,"Sailes, Louisiana","November 3, 1951",Forward
Bucky McConnell,/players/m/mcconbu01.html,1953,1953,G,5-10,170,"July 1, 1928",,Right,5-10,170lb,New Jersey,"February 17, 1953",Point Guard
T.J. McConnell,/players/m/mccontj01.html,2016,2022,G,6-1,190,"March 25, 1992","Duquesne, Arizona",Right,6-1,190lb,"Pittsburgh, Pennsylvania","October 28, 2015",Point Guard
Keith McCord,/players/m/mccorke01.html,1981,1981,G,6-7,210,"June 22, 1957","Alabama, UAB",Right,6-7,210lb,Birm,"December 23, 1980",Shooting Guard
Tim McCormick,/players/m/mccorti01.html,1985,1992,C,6-11,240,"March 10, 1962",Michigan,Right,6-11,240lb,"Detroit, Michigan","October 26, 1984",Center
Jelani McCoy,/players/m/mccoyje01.html,1999,2008,C,6-10,245,"December 6, 1977",UCLA,Right,6-10,245lb,"Oakland, California","February 9, 1999",Center
Paul McCracken,/players/m/mccrapa01.html,1973,1977,G,6-4,180,"September 11, 1950",Cal State Northridge,Right,6-4,180lb,"New York, New York","February 6, 1973",Shooting Guard
Chris McCray,/players/m/mccrach01.html,2007,2007,G,6-5,192,"May 27, 1984",Maryland,Right,6-5,192lb,"Capitol Heights, Maryland","November 15, 2006",Shooting Guard
Rodney McCray,/players/m/mccraro01.html,1984,1993,F-G,6-7,220,"August 29, 1961",Louisville,Right,6-7,220lb,"Mount Vernon, New York","November 4, 1983",Small Forward and Power Forward
Scooter McCray,/players/m/mccrasc01.html,1984,1987,F-G,6-9,215,"February 8, 1960",Louisville,Right,6-9,215lb,"Mount Vernon, New York","October 28, 1983",Power Forward
Erik McCree,/players/m/mccreer01.html,2018,2018,F,6-7,219,"December 20, 1993",Louisiana Tech,Left,6-7,219lb,"Orlando, Florida","February 5, 2018",Small Forward
Chris McCullough,/players/m/mcculch01.html,2016,2018,F,6-11,200,"February 5, 1995",Syracuse,Right,6-11,200lb,"Bronx, New York","February 8, 2016",Power Forward
John McCullough,/players/m/mcculjo01.html,1982,1982,G,6-4,190,"October 5, 1956",Oklahoma,Right,6-4,190lb,"Lima, Ohio","November 3, 1981",Shooting Guard
Clint McDaniel,/players/m/mcdancl01.html,1996,1996,G,6-4,180,"February 26, 1972",Arkansas,Right,6-4,180lb,"Tulsa, Oklahoma","February 1, 1996",Shooting Guard
Xavier McDaniel,/players/m/mcdanxa01.html,1986,1998,F,6-7,205,"June 4, 1963",Wichita State,Right,6-7,205lb,"Columbia, South Carol","October 26, 1985",Small Forward and Power Forward
Jaden McDaniels,/players/m/mcdanja02.html,2021,2022,F,6-9,185,"September 29, 2000",Washington,Right,6-9,185lb,"Federal Way, Wash","December 27, 2020",Power Forward
Jalen McDaniels,/players/m/mcdanja01.html,2020,2022,F,6-9,205,"January 31, 1998",San Diego State,Right,6-9,205lb,"Federal Way, Wash","October 25, 2019",Small Forward
Jim McDaniels,/players/m/mcdanji01.html,1972,1978,C-F,6-11,228,"April 2, 1948",Western Kentucky,Right,6-11,228lb,"Scottsville, Kentucky","February 20, 1972",Center
K.J. McDaniels,/players/m/mcdankj01.html,2015,2017,G-F,6-6,205,"February 9, 1993",Clemson,Right,6-6,205lb,"Mobile, Alabama","October 29, 2014",Small Forward and Shooting Guard
Doug McDermott,/players/m/mcderdo01.html,2015,2022,F,6-7,225,"January 3, 1992",Creighton,Right,6-7,225lb,"Grand Forks, North Dakota","October 29, 2014",Small Forward and Power Forward
Sean McDermott,/players/m/mcderse01.html,2021,2021,F,6-6,195,"November 3, 1996",Butler,Right,6-6,195lb,"Anderson, Indiana","December 30, 2020",Small Forward
Ben McDonald,/players/m/mcdonbe01.html,1986,1989,F,6-8,210,"July 20, 1962","University of California, Irvine",Right,6-8,210lb,"Torrance, California","March 4, 1986",Power Forward and Small Forward
Glenn McDonald,/players/m/mcdongl01.html,1975,1977,F-G,6-6,190,"March 18, 1952",Cal State Long Beach,Right,6-6,190lb,"Kewanee, Ill","October 19, 1974",Small Forward
Michael McDonald,/players/m/mcdonmi01.html,1998,1998,C,6-10,232,"February 13, 1969","Utah Valley, New Orleans",Right,6-10,232lb,"Longview, Texas","January 27, 1998",Center
Roderick McDonald,/players/m/mcdonro01.html,1971,1973,F,6-6,205,"April 9, 1945",Whitworth,Right,6-6,205lb,"Jacksonville, Florida",NA,Small Forward and Power Forward
Hank McDowell,/players/m/mcdowha01.html,1982,1987,F-C,6-9,215,"November 13, 1959",Memphis,Right,6-9,215lb,"Memphis, Tennessee","October 30, 1981",Power Forward
Antonio McDyess,/players/m/mcdyean01.html,1996,2011,F-C,6-9,220,"September 7, 1974",Alabama,Right,6-9,220lb,"Quitman, Mississippi","November 3, 1995",Power Forward and Center
Jim McElroy,/players/m/mcelrji01.html,1976,1982,G,6-3,190,"October 4, 1953",Central Michigan University,Right,6-3,190lb,"Cotton Plant, Arkansas","October 23, 1975",Point Guard
Patrick McFarland,/players/m/mcfarpa01.html,1974,1976,F-G,6-5,185,"December 7, 1951",Saint Joseph's,Right,6-5,185lb,"Philadelphia, Pennsylvania",NA,Shooting Guard
Ivan McFarlin,/players/m/mcfariv01.html,2007,2007,F,6-8,240,"April 26, 1982",Oklahoma State,Right,6-8,240lb,"Missouri City, Texas","November 7, 2006",Power Forward
Mel McGaha,/players/m/mcgahme01.html,1949,1949,G,6-1,190,"September 26, 1926",Arkansas,Right,6-1,190lb,"Bastrop, Louisiana","November 3, 1948",Guard
Mitch McGary,/players/m/mcgarmi01.html,2015,2016,F-C,6-10,255,"June 6, 1992",Michigan,Left,6-10,255lb,"Chesterton, Indiana","December 14, 2014",Power Forward
JaVale McGee,/players/m/mcgeeja01.html,2009,2022,C,7-0,270,"January 19, 1988",Nevada,Right,7-0,270lb,Fl,"October 29, 2008",Center
Mike McGee,/players/m/mcgeemi01.html,1982,1990,G-F,6-5,190,"July 29, 1959",Michigan,Right,6-5,190lb,"Tyler, Texas","November 3, 1981",Small Forward and Shooting Guard
Bill McGill,/players/m/mcgilbi01.html,1963,1970,C-F,6-9,225,"September 16, 1939",Utah,Right,6-9,225lb,"San Angelo, Texas","October 24, 1962",Center
George McGinnis,/players/m/mcginge01.html,1972,1982,F-C,6-8,235,"August 12, 1950",Indiana,Right,6-8,235lb,"Harpersville, Alabama","October 24, 1975",Power Forward and Small Forward
